Time (s),Channel 1 (V),Channel 2 (V)
0.3951,4.9804,0.0049
0.3961,4.9804,0.0049
0.3961,4.9804,0.0049
0.3981,4.9853,0.0098
0.4022,0.0098,4.9804
0.4064,0.0098,0.0049
0.4106,4.9804,0.0049
0.4144,4.9804,0.0049
0.4174,4.9804,0.0049
0.422,0.0098,4.9804
0.4251,0.0098,0.0049
0.4302,4.9804,0.0049
0.4336,4.9804,0.0049
0.4376,4.9853,0.0049
0.4416,4.9804,0.0049
0.445,0.0098,0.0098
0.449,4.9804,0.0049
0.453,4.9853,0.0049
0.457,4.9853,0.0049
0.461,4.9853,0.0049
0.465,0.0098,0.0098
0.469,4.9804,0.0049
0.473,4.9756,0.0049
0.477,4.9853,0.0049
0.48,4.9853,0.0049
0.485,0.0098,0.0098
0.488,0.0098,0.0098
0.492,4.9804,0.0049
0.496,4.9853,0.0049
0.5,4.9853,0.0049
0.504,0.0098,0.0098
0.508,0.0098,0.0049
0.5116,4.9804,0.0049
0.5156,4.9804,0.0049
0.5196,4.9853,0.0049
0.5236,3.3382,0.0049
0.5276,0.0049,0.0049
0.5316,4.9853,0.0049
0.5356,4.9804,0.0049
0.539,4.9804,0.0049
0.5437,4.9853,0.0049
0.5467,0.0098,0.0049
0.5507,4.9804,0.0049
0.5547,4.9804,0.0
0.5587,4.9804,0.0098
0.5628,4.9804,0.0049
0.5659,0.0098,0.0049
0.5705,4.9804,0.0049
0.5747,4.9804,0.0049
0.5778,4.9853,0.0049
0.5822,4.9804,0.0049
0.586,0.0098,0.0098
0.5898,4.9804,0.0049
0.5941,4.9853,0.0049
0.5976,4.9853,0.0049
0.6016,4.9853,0.0049
0.6056,0.0098,0.0049
0.609,4.9853,0.0049
0.6139,4.9756,0.0049
0.6169,4.9804,0.0049
0.6211,4.9853,0.0049
0.6249,0.0098,0.0049
0.6291,4.9804,0.0049
0.6331,4.9853,0.0049
0.6371,4.9804,0.0049
0.6402,4.9804,0.0049
0.6448,0.0098,0.0049
0.6489,4.9853,0.0049
0.6523,4.9853,0.0049
0.6567,4.9804,0.0049
0.6597,4.9853,0.0049
0.6642,0.0098,0.0049
0.6685,4.9804,0.0049
0.6719,4.9804,0.0049
0.6762,4.9853,0.0098
0.6802,4.9804,0.0049
0.6843,4.9707,0.0049
0.6868,0.0098,0.0049
0.6915,4.9804,0.0049
0.6955,4.9853,0.0049
0.6989,4.9853,0.0098
0.7034,4.9853,0.0049
0.7074,0.0098,0.0049
0.7112,4.9853,0.0049
0.7148,4.9804,0.0049
0.7189,4.9853,0.0098
0.7229,4.9853,0.0049
0.727,0.0098,0.0049
0.7304,4.9804,0.0049
0.7347,4.9853,0.0049
0.7381,4.9804,0.0049
0.7423,4.9804,0.0049
0.7463,0.0098,0.0049
0.7497,4.9804,0.0049
0.7537,4.9804,0.0049
0.758,4.9853,0.0049
0.7613,4.9853,0.0049
0.7657,0.0098,0.0049
0.7691,4.9804,0.0049
0.7739,4.9804,0.0049
0.7773,4.9853,0.0049
0.7815,4.9804,0.0049
0.7855,0.0,0.0098
0.7887,4.9804,0.0049
0.793,4.9853,0.0049
0.797,4.9853,0.0049
0.8011,4.9853,0.0049
0.8052,0.0098,0.0049
0.809,4.9804,0.0049
0.8131,4.9853,0.0049
0.8161,4.9853,0.0049
0.8205,4.9804,0.0049
0.824,0.0098,0.0049
0.8276,4.9804,0.0049
0.8319,4.9804,0.0049
0.8363,4.9853,0.0049
0.8399,4.9853,0.0049
0.844,0.0196,0.0098
0.848,0.0342,0.0049
0.8511,4.9853,0.0098
0.8556,4.9853,0.0049
0.8596,4.9804,0.0049
0.8631,4.9804,0.0049
0.8667,2.1994,0.0049
0.8712,4.9804,0.0049
0.8748,4.9804,0.0049
0.8791,4.9804,0.0049
0.8834,4.9853,0.0049
0.8867,0.0489,0.0049
0.8909,4.9853,0.0049
0.8952,4.9804,0.0049
0.8986,4.9853,0.0
0.9018,4.9804,0.0049
0.9066,0.0147,0.0049
0.9105,4.9804,0.0049
0.9136,4.9804,0.0049
0.9177,4.9804,0.0049
0.9218,4.9853,0.0049
0.9252,0.0098,0.0049
0.9297,4.9853,0.0049
0.9335,4.9804,0.0049
0.9375,4.9853,0.0049
0.9417,4.9804,0.0049
0.9451,0.0147,0.0049
0.9495,4.9853,0.0049
0.9525,4.9853,0.0049
0.9576,4.9804,0.0049
0.9606,4.9804,0.0049
0.9646,0.0147,0.0049
0.969,4.9804,0.0049
0.9733,4.9853,0.0049
0.9766,4.9853,0.0049
0.981,4.9853,0.0049
0.9851,0.0147,0.0049
0.9881,4.9804,0.0049
0.9924,4.9853,0.0049
0.9968,4.9804,0.0049
1.0006,4.9804,0.0049
1.0038,4.9658,0.0098
1.008,4.9658,0.0098
1.0114,4.9853,0.0049
1.0157,4.9804,0.0049
1.0199,4.9804,0.0098
1.0235,4.9804,0.0098
1.0276,0.0244,0.0049
1.0319,4.9804,0.0049
1.0349,4.9853,0.0049
1.0389,4.9853,0.0098
1.0431,4.9853,0.0049
1.0471,0.0196,0.0098
1.0511,4.9804,0.0049
1.0541,4.9853,0.0098
1.0585,4.9853,0.0049
1.0621,4.9804,0.0098
1.0663,0.0196,0.0098
1.0709,4.9853,0.0049
1.0741,4.9853,0.0098
1.0781,4.9853,0.0049
1.0823,4.9804,0.0098
1.0856,0.0147,0.0098
1.0896,4.9804,0.0049
1.0936,4.9853,0.0098
1.0977,4.9804,0.0049
1.1017,4.9804,0.0049
1.1053,0.0244,0.0049
1.109,4.9853,0.0049
1.113,4.9804,0.0049
1.117,4.9853,0.0049
1.1206,4.9853,0.0098
1.1249,0.0147,0.0049
1.129,4.9853,0.0098
1.133,4.9804,0.0049
1.1365,4.9756,0.0098
1.1415,4.9804,0.0049
1.1445,0.0196,0.0098
1.149,4.9804,0.0098
1.1529,4.9853,0.0049
1.156,4.9804,0.0098
1.16,4.9804,0.0098
1.1639,4.6774,0.0098
1.168,4.9804,0.0098
1.172,4.9853,0.0098
1.176,4.9853,0.0098
1.18,4.9853,0.0098
1.184,4.9804,0.0098
1.188,4.9707,0.0098
1.192,4.9804,0.0049
1.196,4.9804,0.0098
1.199,4.9804,0.0098
1.203,4.9853,0.0049
1.207,4.9658,0.0098
1.2115,4.9853,0.0098
1.2145,4.9804,0.0098
1.2185,4.9804,0.0049
1.2225,4.9804,0.0049
1.2265,4.9658,0.0098
1.2309,4.9804,0.0049
1.2344,4.9804,0.0098
1.2386,4.9853,0.0098
1.2426,4.9853,0.0049
1.2466,4.9658,0.0049
1.2506,4.9804,0.0098
1.2546,4.9853,0.0098
1.258,4.9853,0.0049
1.262,4.9804,0.0098
1.2653,0.0293,0.0098
1.2694,4.9853,0.0049
1.2733,4.9804,0.0098
1.2773,4.9804,0.0098
1.2816,4.9804,0.0098
1.2851,0.0244,0.0098
1.2895,4.9804,0.0049
1.2925,4.9853,0.0098
1.2969,4.9853,0.0098
1.3012,4.9756,0.0098
1.3042,0.0342,0.0098
1.3093,4.9804,0.0098
1.3124,4.9853,0.0098
1.3164,4.9804,0.0049
1.3204,4.9804,0.0098
1.3245,4.4135,0.0098
1.3285,4.9804,0.0049
1.3318,4.9853,0.0098
1.336,4.9804,0.0098
1.3395,4.9853,0.0098
1.3438,4.9804,0.0098
1.348,4.9707,0.0098
1.3513,4.9853,0.0098
1.3558,4.9853,0.0098
1.359,4.9804,0.0098
1.3639,4.9804,0.0098
1.3674,4.9658,0.0049
1.3717,4.9804,0.0098
1.3747,4.9853,0.0098
1.3791,4.9804,0.0098
1.3833,4.9804,0.0098
1.3868,4.9658,0.0098
1.3915,4.9853,0.0098
1.3952,4.9853,0.0098
1.3985,4.9853,0.0147
1.4024,4.9853,0.0098
1.4069,4.9658,0.0098
1.4105,4.9804,0.0098
1.4139,4.9853,0.0098
1.4183,4.9853,0.0098
1.4225,4.9804,0.0098
1.4262,0.0391,0.0098
1.4295,4.9804,0.0098
1.4339,4.9853,0.0098
1.4373,4.9853,0.0098
1.4418,4.9853,0.0098
1.4458,2.3656,0.0098
1.4494,4.9804,0.0098
1.4534,4.9804,0.0098
1.4571,4.9804,0.0098
1.4616,4.9804,0.0098
1.4648,4.9609,0.0098
1.4691,4.9853,0.0098
1.4726,4.9804,0.0098
1.477,4.9804,0.0098
1.481,4.9853,0.0098
1.485,0.2248,0.0098
1.488,4.9804,0.0098
1.4925,4.9853,0.0098
1.4965,4.9853,0.0098
1.5006,4.9804,0.0098
1.504,4.9707,0.0098
1.508,4.9804,0.0098
1.5115,4.9853,0.0098
1.5157,4.9804,0.0098
