Time,Channel 1,Channel 2
1.1737,-80.9259,184.5861
1.1777,162.309,82.9448
1.1817,81.7272,-160.997
1.1847,26.3563,-81.3527
1.1887,-184.4922,-26.0024
1.1927,-83.6521,184.0748
1.1968,160.699,83.0846
1.2008,80.6156,-160.7215
1.2048,26.0409,-81.0546
1.2088,-184.1694,-25.7434
1.2122,-83.932,184.2693
1.2166,160.8576,83.2129
1.2206,-97.2667,17.2398
1.2244,143.1469,-197.8518
1.2284,63.5111,-96.2113
1.2325,-165.4522,149.4699
1.2355,101.0657,73.2129
1.2406,-135.6824,21.3434
1.2438,122.1019,-187.3748
1.2481,55.5126,-84.2473
1.2511,-165.9048,160.5057
1.2552,104.0436,81.7124
1.2593,-130.0489,27.0882
1.2637,127.6132,-184.0267
1.2678,59.8451,-82.8778
1.2708,-163.093,160.9747
1.2754,106.119,81.4633
1.2795,-129.4067,26.5126
1.2837,127.7593,-184.6719
1.287,59.8863,-83.2735
1.2912,-163.4628,160.2495
1.2956,-18.7112,81.2179
1.2988,-47.9204,26.3806
1.3029,176.5389,-184.7231
1.3058,84.2275,-83.4495
1.3098,-156.1886,19.9692
1.3138,-74.5025,173.5422
1.3178,157.2161,82.0766
1.3223,72.4601,-157.3624
1.3264,16.3508,-75.1488
1.3298,-193.6942,-19.7122
1.3335,-90.3449,188.9852
1.3376,156.4387,87.4981
1.3416,78.3329,-159.4181
1.3456,24.639,-80.1715
1.3496,-184.8792,-25.2271
1.3536,-83.2894,184.3339
1.3576,161.5603,82.8591
1.3616,81.5861,-161.3327
1.3656,26.5516,-81.0593
1.3687,-184.3324,-25.7858
1.3731,-83.3628,184.2149
1.3771,161.1806,83.1615
1.3801,-97.1253,-160.5152
1.3842,143.1707,-81.1671
1.3881,-113.7182,-25.8256
1.3932,-49.3257,184.2169
1.3961,171.3069,83.3597
1.4001,-101.1927,17.2889
1.4042,132.5025,-198.2114
1.4091,-125.7827,-96.3695
1.4125,-60.2231,149.9675
1.4162,162.3446,73.0872
1.4261,-106.7549,21.269
1.4274,129.2874,-187.4102
1.4282,49.5961,-84.2566
1.4312,-176.6699,160.6865
1.4351,-12.6034,81.6099
1.4398,-71.4471,27.0327
1.4432,161.407,-184.0486
1.4474,75.1185,-82.8787
1.4512,-159.7712,161.1597
1.455,-75.1584,81.3623
1.4595,-19.3623,26.4568
1.4632,191.0359,-184.6949
1.4669,88.6721,-83.6258
1.4712,-157.4944,160.6634
1.4751,-78.8912,81.2546
1.4784,-25.0214,26.3922
1.4825,185.0027,-184.7263
1.4868,83.4766,-83.4598
1.4905,-161.3722,160.3774
1.4946,-81.4297,81.3103
1.498,-25.9129,26.439
1.5021,184.2345,-184.517
1.506,83.0781,-83.5529
1.5091,-161.3377,-16.3436
1.5138,-81.0034,197.3043
1.5179,151.8307,96.241
1.5218,67.8671,-150.0241
1.5255,12.9493,-73.2722
1.5341,-195.7275,-20.613
1.5362,86.3862,186.9857
1.5372,39.0999,84.3998
1.5415,8.12,-160.9763
1.545,-9.1894,-81.7226
1.5491,-195.2816,-26.5099
1.5531,-78.6496,183.7583
1.5563,172.614,82.7453
1.5604,-84.1899,16.6992
1.5642,154.6697,-198.1624
1.5684,-105.2709,-96.5258
1.5715,-43.0137,149.7323
1.5753,174.3933,73.2018
1.5801,-99.4158,21.3687
1.584,132.7777,-187.3351
1.5877,-125.9761,-84.207
1.5917,-60.7995,160.7146
1.5956,161.4948,81.622
1.5997,-107.25,27.0345
1.6032,128.884,-184.0523
1.6072,49.6588,-82.8846
1.6116,-177.0786,160.9786
1.6151,-84.9706,81.4722
1.6188,-24.3472,26.5224
1.6231,189.9084,-184.6632
1.6266,89.3696,-83.442
1.6307,-155.6278,160.5439
1.6342,-76.7424,81.1748
1.6378,-23.4446,26.3464
1.6431,186.3665,-184.7469
1.6463,84.1479,-83.4639
1.6504,-160.9964,64.0843
1.655,-81.0948,144.563
1.6584,-26.3566,64.5979
1.6624,184.3419,-165.9458
1.6657,83.1001,-77.8699
1.6707,-161.3632,-18.6054
1.6744,-81.2241,191.6954
1.6784,151.8975,89.8693
1.6819,67.545,-156.0501
1.6862,13.0076,-77.9167
1.6902,-195.4837,-23.7544
1.6933,-91.2053,184.9781
1.6975,156.0275,83.3177
1.7013,78.398,-160.8728
1.7054,25.288,-81.3775
1.7092,-184.5663,-26.0995
1.7133,-83.0274,184.1322
1.717,161.7513,82.8614
1.7212,-83.2245,-160.8757
1.7247,134.9364,-81.147
1.729,-118.617,-25.9634
1.7328,-51.4987,184.3716
1.7368,170.3807,83.2881
1.7405,-100.7947,17.4635
1.7444,133.338,-197.9402
1.7479,52.1487,-96.2699
1.7528,-175.6732,149.4365
1.757,93.0014,73.0231
1.7595,-140.9112,21.4559
1.7646,119.2231,-187.3013
1.7685,54.1581,-84.2064
1.7721,-166.4196,160.5229
1.775,104.7486,81.5394
1.7836,-129.8879,27.3722
1.7868,127.9924,-184.0815
1.7887,59.7464,-82.7472
1.7917,-162.3698,160.828
1.7957,106.6158,81.1992
1.7997,-129.1111,26.5834
1.8041,127.7259,-184.6161
1.8068,60.0398,-83.5852
1.8108,-163.4146,88.7166
1.8146,105.4118,128.5131
1.8184,-128.9658,54.8906
1.8222,127.3144,-170.7358
1.8262,59.4122,-79.4898
1.8303,-163.3457,-17.7941
1.8341,-71.7119,192.9175
1.8381,164.8183,91.6191
1.8416,80.7122,-154.678
1.846,23.8782,-76.6228
1.85,-187.6494,-22.7216
1.8535,-86.094,185.3502
1.857,158.3413,83.6368
1.861,79.4041,-160.9855
1.8656,25.1,-81.5178
1.8696,-184.9857,-26.055
1.8731,-83.6693,183.7388
1.8772,160.9297,82.8355
1.881,81.1094,-160.8836
1.885,26.0602,-81.1441
1.889,-145.0025,-25.7805
1.893,-109.0697,184.2657
1.8973,145.4794,83.0519
1.9008,-104.828,-160.3384
1.9038,140.7192,-81.0483
1.9089,64.4866,-25.932
1.9128,-162.894,184.3631
1.9166,103.6504,83.2606
1.9233,-133.3502,17.4308
1.9254,124.0811,-197.9699
1.9284,56.6223,-96.4682
1.9314,-165.2562,149.7108
1.9344,104.8696,73.1433
1.9398,-130.3233,21.3012
1.9428,127.1703,-187.3958
1.9473,59.7413,-84.4289
1.9517,-163.1798,160.7979
1.9555,105.8807,81.673
1.9584,-129.3321,27.0601
1.9636,127.8069,-184.0442
1.9665,59.9119,-82.7118
1.9705,-163.4529,160.8565
1.9744,-71.4123,81.3944
1.9784,-13.3137,26.4807
1.9825,197.7606,-184.6793
1.9864,94.246,-83.267
1.9901,-153.2885,160.262
1.9943,-75.7564,81.2313
1.998,-23.3225,26.3922
2.002,185.4985,-184.7144
2.006,83.2694,-83.4438
2.01,-161.9055,-16.2707
2.0137,-81.5142,197.1712
2.0176,151.4364,96.5498
2.0215,67.2498,-150.2411
2.0247,12.3227,-73.1972
2.0292,-195.9016,-20.4007
2.0327,-91.2396,186.7071
2.0368,156.0212,84.2666
2.0408,78.407,-160.837
2.0451,25.1284,-81.6421
2.0487,-184.6103,-26.2982
2.0523,-83.0045,183.6511
2.0564,161.6297,82.4924
2.0601,81.883,-161.1241
2.0638,26.5646,-81.291
2.0678,-183.5921,-25.8541
2.0727,-83.6007,184.2422
2.0761,160.8308,83.4084
2.0803,-97.1229,17.3413
2.0838,143.1788,-197.991
2.088,63.4801,-96.4505
2.092,-165.5103,149.7454
2.096,101.0036,73.1806
2.0996,-135.7359,21.3336
2.1038,122.2369,-187.3715
2.1078,55.3714,-84.2378
2.112,-165.9888,160.5168
2.1157,104.3536,81.7224
2.1192,-130.4649,27.096
2.1234,127.5954,-184.0215
2.1266,59.86,-82.6996
2.1309,-163.0638,160.8611
2.1385,105.9754,81.3943
2.1405,-129.2644,26.4782
2.1425,127.8491,-184.6826
2.1465,59.9339,-83.4452
2.1495,-163.4451,160.5495
2.1545,-71.2381,81.1839
2.1575,-13.4338,26.3558
2.1626,197.5097,-184.7389
2.1659,94.3209,-83.458
2.1699,-153.234,122.5673
2.1737,-75.7216,106.1589
2.1772,154.0599,41.4316
2.1816,69.0222,-177.325
2.1855,12.8298,-81.2479
2.1897,-195.9564,-17.1192
2.1931,-91.924,195.0779
2.1975,155.3051,93.824
2.2015,77.6219,-152.6516
2.205,24.7918,-75.0341
2.2092,-185.1839,-21.6292
2.2122,-82.7266,186.1762
2.2162,161.7724,83.8347
2.2202,81.7569,-160.9692
2.2249,26.6721,-81.5976
2.2281,-184.0834,-26.3457
2.2321,-83.2653,183.7396
2.2361,161.0085,82.8108
2.2402,-97.2316,-160.742
2.2442,142.9415,-81.2915
2.2482,32.4017,-25.876
2.2513,-144.9783,184.213
2.2564,113.3914,83.3804
2.2594,-129.6491,17.3187
2.2644,123.8709,-198.0069
2.2677,54.7879,-96.2852
2.2708,-167.7875,149.6254
2.2748,102.5875,73.1096
2.2788,-132.4379,21.1248
2.2834,125.6778,-187.2653
2.2871,58.8235,-84.1629
2.2915,-163.6456,160.913
2.2952,105.9019,81.5158
2.2988,-129.4144,26.965
2.3022,127.6854,-184.0913
2.3066,60.1413,-82.9011
2.311,-163.4325,160.9765
2.3145,105.6857,81.4777
2.3185,-129.2889,26.531
2.3219,127.79,-184.6545
2.3254,59.867,-83.4347
2.3301,-163.5045,160.5492
2.3342,-71.6337,81.1782
2.3372,-12.8841,26.3481
2.3422,197.576,-184.7461
2.3452,94.1274,-83.4638
2.3492,-153.353,160.3821
2.3532,-75.9571,81.3188
2.3572,154.3301,26.4479
2.3612,68.9809,-184.5094
2.3653,12.9857,-83.5472
2.3693,-196.2512,-16.3399
2.3728,-92.0499,197.3064
2.3759,155.4627,96.2418
2.3802,77.8982,-150.024
2.3842,24.7319,-73.2725
2.3882,-185.0563,-20.4384
2.3922,-83.0497,186.8703
2.3955,161.6231,84.155
2.3995,81.7223,-160.7206
2.4036,26.7024,-81.6034
2.4086,-184.2,-26.4812
2.4122,-83.0873,183.3854
2.4154,161.3076,82.7548
2.42,-97.0965,16.9038
2.4231,143.1443,-198.2427
2.4279,-114.1188,-96.3887
2.4317,-48.9747,149.7827
2.4349,170.9338,73.0239
